00001 A00     0 Cholera                                                      Cholera
18067 Y418    1 Other specified systemic anti-infectives and antip           Other specified systemic anti-infectives and antiparasitics
18068 Y419    1 Systemic anti-infective and antiparasitic, unspeci           Systemic anti-infective and antiparasitic, unspecified
18069 Y42     0 Hormones and their synthetic substitutes and antag           Hormones and their synthetic substitutes and antagonists, not elsewhere classified
18070 Y420    1 Glucocorticoids and synthetic analogs                        Glucocorticoids and synthetic analogs
18071 Y421    1 Thyroid hormones and substitutes                             Thyroid hormones and substitutes
18072 Y422    1 Antithyroid drugs                                            Antithyroid drugs
18073 Y423    1 Insulin and oral hypoglycaemic [antidiabetic] drug           Insulin and oral hypoglycaemic [antidiabetic] drugs
18074 Y424    1 Oral contraceptives                                          Oral contraceptives
18075 Y425    1 Other oestrogens and progestogens                            Other oestrogens and progestogens
18076 Y426    1 Antigonadotrophins, antioestrogens, antiandrogens,           Antigonadotrophins, antioestrogens, antiandrogens, not elsewhere classified
18077 Y427    1 Androgens and anabolic congeners                             Androgens and anabolic congeners
18078 Y428    1 Other and unspecified hormones and their synthetic           Other and unspecified hormones and their synthetic substitutes
18079 Y429    1 Other and unspecified hormone antagonists                    Other and unspecified hormone antagonists
18080 Y43     0 Primarily systemic agents                                    Primarily systemic agents
18081 Y430    1 Antiallergic and antiemetic drugs                            Antiallergic and antiemetic drugs
18082 Y431    1 Antineoplastic antimetabolites                               Antineoplastic antimetabolites
18083 Y432    1 Antineoplastic natural products                              Antineoplastic natural products
18084 Y433    1 Other antineoplastic drugs                                   Other antineoplastic drugs
18085 Y434    1 Immunosuppressive agents                                     Immunosuppressive agents
18086 Y435    1 Acidifying and alkalising agents                             Acidifying and alkalising agents
18087 Y436    1 Enzymes, not elsewhere classified                            Enzymes, not elsewhere classified
18088 Y438    1 Other primarily systemic agents, not elsewhere cla           Other primarily systemic agents, not elsewhere classified
18089 Y439    1 Primarily systemic agent, unspecified                        Primarily systemic agent, unspecified
18090 Y44     0 Agents primarily affecting blood constituents                Agents primarily affecting blood constituents
18091 Y440    1 Iron preparations and other anti-hypochromic-anaem           Iron preparations and other anti-hypochromic-anaemia preparations
18092 Y441    1 Vitamin B12, folic acid and other anti-megaloblast           Vitamin B12, folic acid and other anti-megaloblastic-anaemia preparations
18093 Y442    1 Anticoagulants                                               Anticoagulants
18094 Y443    1 Anticoagulant antagonists, vitamin K and other coa           Anticoagulant antagonists, vitamin K and other coagulants
18095 Y444    1 Antithrombotic drugs [platelet-aggregation inhibit           Antithrombotic drugs [platelet-aggregation inhibitors]
18096 Y445    1 Thrombolytic drugs                                           Thrombolytic drugs
18097 Y446    1 Natural blood and blood products                             Natural blood and blood products
18098 Y447    1 Plasma substitutes                                           Plasma substitutes
18099 Y449    1 Other and unspecified agents affecting blood const           Other and unspecified agents affecting blood constituents
18100 Y45     0 Analgesics, antipyretics and anti-inflammatory dru           Analgesics, antipyretics and anti-inflammatory drugs
18101 Y450    1 Opioids and related analgesics                               Opioids and related analgesics
18102 Y451    1 Salicylates                                                  Salicylates
18103 Y452    1 Propionic acid derivatives                                   Propionic acid derivatives
18104 Y453    1 Other nonsteroidal anti-inflammatory drugs [NSAID]           Other nonsteroidal anti-inflammatory drugs [NSAID]
18105 Y454    1 Antirheumatics                                               Antirheumatics
18106 Y455    1 4-Aminophenol derivatives                                    4-Aminophenol derivatives
18107 Y458    1 Other analgesics and antipyretics                            Other analgesics and antipyretics
18108 Y459    1 Analgesic, antipyretic and anti-inflammatory drug,           Analgesic, antipyretic and anti-inflammatory drug, unspecified
18109 Y46     0 Antiepileptics and anti-Parkinsonism drugs                   Antiepileptics and anti-Parkinsonism drugs
18110 Y460    1 Succinimides                                                 Succinimides
18111 Y461    1 Oxazolidinediones                                            Oxazolidinediones
18112 Y462    1 Hydantoin derivatives                                        Hydantoin derivatives
18113 Y463    1 Deoxybarbiturates                                            Deoxybarbiturates
18114 Y464    1 Iminostilbenes                                               Iminostilbenes
18115 Y465    1 Valproic acid                                                Valproic acid
18116 Y466    1 Other and unspecified antiepileptics                         Other and unspecified antiepileptics
18117 Y467    1 Anti-Parkinsonism drugs                                      Anti-Parkinsonism drugs
18118 Y468    1 Antispasticity drugs                                         Antispasticity drugs
18119 Y47     0 Sedatives, hypnotics and antianxiety drugs                   Sedatives, hypnotics and antianxiety drugs
18120 Y470    1 Barbiturates, not elsewhere classified                       Barbiturates, not elsewhere classified
18121 Y471    1 Benzodiazepines                                              Benzodiazepines
18122 Y472    1 Chloral derivatives                                          Chloral derivatives
18123 Y473    1 Paraldehyde                                                  Paraldehyde
18124 Y474    1 Bromine compounds                                            Bromine compounds
18125 Y475    1 Mixed sedatives and hypnotics, not elsewhere class           Mixed sedatives and hypnotics, not elsewhere classified
18126 Y478    1 Other sedatives, hypnotics and antianxiety drugs             Other sedatives, hypnotics and antianxiety drugs
18127 Y479    1 Sedative, hypnotic and antianxiety drug, unspecifi           Sedative, hypnotic and antianxiety drug, unspecified
18128 Y48     0 Anaesthetics and therapeutic gases                           Anaesthetics and therapeutic gases
18129 Y480    1 Inhaled anaesthetics                                         Inhaled anaesthetics
18130 Y481    1 Parenteral anaesthetics                                      Parenteral anaesthetics
18131 Y482    1 Other and unspecified general anaesthetics                   Other and unspecified general anaesthetics
18132 Y483    1 Local anaesthetics                                           Local anaesthetics
18133 Y484    1 Anaesthetic, unspecified                                     Anaesthetic, unspecified
18134 Y485    1 Therapeutic gases                                            Therapeutic gases
18135 Y49     0 Psychotropic drugs, not elsewhere classified                 Psychotropic drugs, not elsewhere classified
18136 Y490    1 Tricyclic and tetracyclic antidepressants                    Tricyclic and tetracyclic antidepressants
18137 Y491    1 Monoamine-oxidase-inhibitor antidepressants                  Monoamine-oxidase-inhibitor antidepressants
18138 Y492    1 Other and unspecified antidepressants                        Other and unspecified antidepressants
18139 Y493    1 Phenothiazine antipsychotics and neuroleptics                Phenothiazine antipsychotics and neuroleptics
18140 Y494    1 Butyrophenone and thioxanthene neuroleptics                  Butyrophenone and thioxanthene neuroleptics
18141 Y495    1 Other antipsychotics and neuroleptics                        Other antipsychotics and neuroleptics
18142 Y496    1 Psychodysleptics [hallucinogens]                             Psychodysleptics [hallucinogens]
18143 Y497    1 Psychostimulants with abuse potential                        Psychostimulants with abuse potential
18144 Y498    1 Other psychotropic drugs, not elsewhere classified           Other psychotropic drugs, not elsewhere classified
18145 Y499    1 Psychotropic drug, unspecified                               Psychotropic drug, unspecified
18146 Y50     0 Central nervous system stimulants, not elsewhere c           Central nervous system stimulants, not elsewhere classified
18147 Y500    1 Analeptics                                                   Analeptics
18148 Y501    1 Opioid receptor antagonists                                  Opioid receptor antagonists
18149 Y502    1 Methylxanthines, not elsewhere classified                    Methylxanthines, not elsewhere classified
18150 Y508    1 Other central nervous system stimulants                      Other central nervous system stimulants
18151 Y509    1 Central nervous system stimulant, unspecified                Central nervous system stimulant, unspecified
18152 Y51     0 Drugs primarily affecting the autonomic nervous sy           Drugs primarily affecting the autonomic nervous system
18153 Y510    1 Anticholinesterase agents                                    Anticholinesterase agents
18154 Y511    1 Other parasympathomimetics [cholinergics]                    Other parasympathomimetics [cholinergics]
18155 Y512    1 Ganglionic blocking drugs, not elsewhere classifie           Ganglionic blocking drugs, not elsewhere classified
18156 Y513    1 Other parasympatholytics [anticholinergics and ant           Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified
18157 Y514    1 Predominantly Alpha-adrenoreceptor agonists, not e           Predominantly Alpha-adrenoreceptor agonists, not elsewhere classified
18158 Y515    1 Predominantly Beta-adrenoreceptor agonists, not el           Predominantly Beta-adrenoreceptor agonists, not elsewhere classified
18159 Y516    1 @-Adrenoreceptor antagonists, not elsewhere classi           @-Adrenoreceptor antagonists, not elsewhere classified
18160 Y517    1 Beta-Adrenoreceptor antagonists, not elsewhere cla           Beta-Adrenoreceptor antagonists, not elsewhere classified
18161 Y518    1 Centrally acting and adrenergic-neuron-blocking ag           Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified
18162 Y519    1 Other and unspecified drugs primarily affecting th           Other and unspecified drugs primarily affecting the autonomic nervous system
18163 Y52     0 Agents primarily affecting the cardiovascular syst           Agents primarily affecting the cardiovascular system
18164 Y520    1 Cardiac-stimulant glycosides and drugs of similar            Cardiac-stimulant glycosides and drugs of similar action
18165 Y521    1 Calcium-channel blockers                                     Calcium-channel blockers
18166 Y522    1 Other antidysrhythmic drugs, not elsewhere classif           Other antidysrhythmic drugs, not elsewhere classified
18167 Y523    1 Coronary vasodilators, not elsewhere classified              Coronary vasodilators, not elsewhere classified
18168 Y524    1 Angiotensin-converting-enzyme inhibitors                     Angiotensin-converting-enzyme inhibitors
18169 Y525    1 Other antihypertensive drugs, not elsewhere classi           Other antihypertensive drugs, not elsewhere classified
18170 Y526    1 Antihyperlipidaemic and antiarteriosclerotic drugs           Antihyperlipidaemic and antiarteriosclerotic drugs
18171 Y527    1 Peripheral vasodilators                                      Peripheral vasodilators
18172 Y528    1 Antivaricose drugs, including sclerosing agents              Antivaricose drugs, including sclerosing agents
18173 Y529    1 Other and unspecified agents primarily affecting t           Other and unspecified agents primarily affecting the cardiovascular system
18174 Y53     0 Agents primarily affecting the gastro-intestinal s           Agents primarily affecting the gastro-intestinal system
18175 Y530    1 Histamine H2-receptor antagonists                            Histamine H2-receptor antagonists
18176 Y531    1 Other antacids and anti-gastric-secretion drugs              Other antacids and anti-gastric-secretion drugs
18177 Y532    1 Stimulant laxatives                                          Stimulant laxatives
18178 Y533    1 Saline and osmotic laxatives                                 Saline and osmotic laxatives
18179 Y534    1 Other laxatives                                              Other laxatives
18180 Y535    1 Digestants                                                   Digestants
18181 Y536    1 Antidiarrhoeal drugs                                         Antidiarrhoeal drugs
18182 Y537    1 Emetics                                                      Emetics
18183 Y538    1 Other agents primarily affecting the gastro-intest           Other agents primarily affecting the gastro-intestinal system
18184 Y539    1 Agent primarily affecting the gastro-intestinal sy           Agent primarily affecting the gastro-intestinal system, unspecified
18185 Y54     0 Agents primarily affecting water-balance and miner           Agents primarily affecting water-balance and mineral and uric acid metabolism
18186 Y540    1 Mineralocorticoids                                           Mineralocorticoids
18187 Y541    1 Mineralocorticoid antagonists [aldosterone antagon           Mineralocorticoid antagonists [aldosterone antagonists]
18188 Y542    1 Carbonic-anhydrase inhibitors                                Carbonic-anhydrase inhibitors
18189 Y543    1 Benzothiadiazine derivatives                                 Benzothiadiazine derivatives
18190 Y544    1 Loop [high-ceiling] diuretics                                Loop [high-ceiling] diuretics
18191 Y545    1 Other diuretics                                              Other diuretics
18192 Y546    1 Electrolytic, caloric and water-balance agents               Electrolytic, caloric and water-balance agents
18193 Y547    1 Agents affecting calcification                               Agents affecting calcification
18194 Y548    1 Agents affecting uric acid metabolism                        Agents affecting uric acid metabolism
18195 Y549    1 Mineral salts, not elsewhere classified                      Mineral salts, not elsewhere classified
18196 Y55     0 Agents primarily acting on smooth and skeletal mus           Agents primarily acting on smooth and skeletal muscles and the respiratory system
18197 Y550    1 Oxytocic drugs                                               Oxytocic drugs
18198 Y551    1 Skeletal muscle relaxants [neuromuscular blocking            Skeletal muscle relaxants [neuromuscular blocking agents]
18199 Y552    1 Other and unspecified agents primarily acting on m           Other and unspecified agents primarily acting on muscles
18200 Y553    1 Antitussives                                                 Antitussives
18201 Y554    1 Expectorants                                                 Expectorants
18202 Y555    1 Anticommon cold drugs                                        Anticommon cold drugs
18203 Y556    1 Antiasthmatics, not elsewhere classified                     Antiasthmatics, not elsewhere classified
18204 Y557    1 Other and unspecified agents primarily acting on t           Other and unspecified agents primarily acting on the respiratory system
18205 Y56     0 Topical agents primarily affecting skin and mucous           Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs
18206 Y560    1 Local antifungal, anti-infective and anti-inflamma           Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified
18207 Y561    1 Antipruritics                                                Antipruritics
18208 Y562    1 Local astringents and local detergents                       Local astringents and local detergents
18209 Y563    1 Emollients, demulcents and protectants                       Emollients, demulcents and protectants
18210 Y564    1 Keratolytics, keratoplastics and other hair treatm           Keratolytics, keratoplastics and other hair treatment drugs and preparations
18211 Y565    1 Ophthalmological drugs and preparations                      Ophthalmological drugs and preparations
18212 Y566    1 Otorhinolaryngological drugs and preparations                Otorhinolaryngological drugs and preparations
18213 Y567    1 Dental drugs, topically applied                              Dental drugs, topically applied
18214 Y568    1 Other topical agents                                         Other topical agents
18215 Y569    1 Topical agent, unspecified                                   Topical agent, unspecified
18216 Y57     0 Other and unspecified drugs and medicaments                  Other and unspecified drugs and medicaments
18217 Y570    1 Appetite depressants [anorectics]                            Appetite depressants [anorectics]
18218 Y571    1 Lipotropic drugs                                             Lipotropic drugs
18219 Y572    1 Antidotes and chelating agents, not elsewhere clas           Antidotes and chelating agents, not elsewhere classified
18220 Y573    1 Alcohol deterrents                                           Alcohol deterrents
18221 Y574    1 Pharmaceutical excipients                                    Pharmaceutical excipients
18222 Y575    1 X-ray contrast media                                         X-ray contrast media
18223 Y576    1 Other diagnostic agents                                      Other diagnostic agents
18224 Y577    1 Vitamins, not elsewhere classified                           Vitamins, not elsewhere classified
18225 Y578    1 Other drugs and medicaments                                  Other drugs and medicaments
18226 Y579    1 Drug or medicament, unspecified                              Drug or medicament, unspecified
18227 Y58     0 Bacterial vaccines                                           Bacterial vaccines
18228 Y580    1 BCG vaccine                                                  BCG vaccine
18229 Y581    1 Typhoid and paratyphoid vaccine                              Typhoid and paratyphoid vaccine
18230 Y582    1 Cholera vaccine                                              Cholera vaccine
18231 Y583    1 Plague vaccine                                               Plague vaccine
18232 Y584    1 Tetanus vaccine                                              Tetanus vaccine
18233 Y585    1 Diphtheria vaccine                                           Diphtheria vaccine
18234 Y586    1 Pertussis vaccine, including combinations with a p           Pertussis vaccine, including combinations with a pertussis component
18235 Y588    1 Mixed bacterial vaccines, except combinations with           Mixed bacterial vaccines, except combinations with a pertussis component
18236 Y589    1 Other and unspecified bacterial vaccines                     Other and unspecified bacterial vaccines
18237 Y59     0 Other and unspecified vaccines and biological subs           Other and unspecified vaccines and biological substances
18238 Y590    1 Viral vaccines                                               Viral vaccines
18239 Y591    1 Rickettsial vaccines                                         Rickettsial vaccines
18240 Y592    1 Protozoal vaccines                                           Protozoal vaccines
18241 Y593    1 Immunoglobulin                                               Immunoglobulin
18242 Y598    1 Other specified vaccines and biological substances           Other specified vaccines and biological substances
18243 Y599    1 Vaccine or biological substance, unspecified                 Vaccine or biological substance, unspecified
18244 Y60     0 Unintentional cut, puncture, perforation or haemor           Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care
18245 Y600    1 During surgical operation                                    During surgical operation
18246 Y601    1 During infusion or transfusion                               During infusion or transfusion
18247 Y602    1 During kidney dialysis or other perfusion                    During kidney dialysis or other perfusion
18248 Y603    1 During injection or immunisation                             During injection or immunisation
18249 Y604    1 During endoscopic examination                                During endoscopic examination
18250 Y605    1 During heart catheterisation                                 During heart catheterisation
18251 Y606    1 During aspiration, puncture and other catheterisat           During aspiration, puncture and other catheterisation
18252 Y607    1 During administration of enema                               During administration of enema
18253 Y608    1 During other surgical and medical care                       During other surgical and medical care
18254 Y609    1 During unspecified surgical and medical care                 During unspecified surgical and medical care
18255 Y61     0 Foreign object accidentally left in body during su           Foreign object accidentally left in body during surgical and medical care
18256 Y610    1 During surgical operation                                    During surgical operation
18257 Y611    1 During infusion or transfusion                               During infusion or transfusion
18258 Y612    1 During kidney dialysis or other perfusion                    During kidney dialysis or other perfusion
18259 Y613    1 During injection or immunisation                             During injection or immunisation
18260 Y614    1 During endoscopic examination                                During endoscopic examination
18261 Y615    1 During heart catheterisation                                 During heart catheterisation
18262 Y616    1 During aspiration, puncture and other catheterisat           During aspiration, puncture and other catheterisation
18263 Y617    1 During removal of catheter or packing                        During removal of catheter or packing
18264 Y618    1 During other surgical and medical care                       During other surgical and medical care
18265 Y619    1 During unspecified surgical and medical care                 During unspecified surgical and medical care
18266 Y62     0 Failure of sterile precautions during surgical and           Failure of sterile precautions during surgical and medical care
18267 Y620    1 During surgical operation                                    During surgical operation
18268 Y621    1 During infusion or transfusion                               During infusion or transfusion
18269 Y622    1 During kidney dialysis or other perfusion                    During kidney dialysis or other perfusion
18270 Y623    1 During injection or immunisation                             During injection or immunisation
18271 Y624    1 During endoscopic examination                                During endoscopic examination
18272 Y625    1 During heart catheterisation                                 During heart catheterisation
18273 Y626    1 During aspiration, puncture and other catheterisat           During aspiration, puncture and other catheterisation
18274 Y628    1 During other surgical and medical care                       During other surgical and medical care
18275 Y629    1 During unspecified surgical and medical care                 During unspecified surgical and medical care
18276 Y63     0 Failure in dosage during surgical and medical care           Failure in dosage during surgical and medical care
18277 Y630    1 Excessive amount of blood or other fluid given dur           Excessive amount of blood or other fluid given during transfusion or infusion
18278 Y631    1 Incorrect dilution of fluid used during infusion             Incorrect dilution of fluid used during infusion
18279 Y632    1 Overdose of radiation given during therapy                   Overdose of radiation given during therapy
18280 Y633    1 Inadvertent exposure of patient to radiation durin           Inadvertent exposure of patient to radiation during medical care
18281 Y634    1 Failure in dosage in electroshock or insulin-shock           Failure in dosage in electroshock or insulin-shock therapy
18282 Y635    1 Inappropriate temperature in local application and           Inappropriate temperature in local application and packing
18283 Y636    1 Nonadministration of necessary drug, medicament or           Nonadministration of necessary drug, medicament or biological substance
18284 Y638    1 Failure in dosage during other surgical and medica           Failure in dosage during other surgical and medical care
18285 Y639    1 Failure in dosage during unspecified surgical and            Failure in dosage during unspecified surgical and medical care
18286 Y64     0 Contaminated medical or biological substances                Contaminated medical or biological substances
18287 Y640    1 Contaminated medical or biological substance, tran           Contaminated medical or biological substance, transfused or infused
18288 Y641    1 Contaminated medical or biological substance, inje           Contaminated medical or biological substance, injected or used for immunisation
18289 Y648    1 Contaminated medical or biological substance admin           Contaminated medical or biological substance administered by other means
18290 Y649    1 Contaminated medical or biological substance admin           Contaminated medical or biological substance administered by unspecified means
18291 Y65     0 Other misadventures during surgical and medical ca           Other misadventures during surgical and medical care
18292 Y650    1 Mismatched blood used in transfusion                         Mismatched blood used in transfusion
18293 Y651    1 Wrong fluid used in infusion                                 Wrong fluid used in infusion
18294 Y652    1 Failure in suture or ligature during surgical oper           Failure in suture or ligature during surgical operation
18295 Y653    1 Endotracheal tube wrongly placed during anaestheti           Endotracheal tube wrongly placed during anaesthetic procedure
18296 Y654    1 Failure to introduce or to remove other tube or in           Failure to introduce or to remove other tube or instrument
18297 Y655    1 Performance of inappropriate operation                       Performance of inappropriate operation
18298 Y658    1 Other specified misadventures during surgical and            Other specified misadventures during surgical and medical care
18299 Y66     1 Nonadministration of surgical and medical care               Nonadministration of surgical and medical care
18300 Y69     1 Unspecified misadventure during surgical and medic           Unspecified misadventure during surgical and medical care
18301 Y70     0 Anaesthesiology devices associated with adverse in           Anaesthesiology devices associated with adverse incidents
18302 Y700    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18303 Y701    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18304 Y702    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18305 Y703    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18306 Y708    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18307 Y71     0 Cardiovascular devices associated with adverse inc           Cardiovascular devices associated with adverse incidents
18308 Y710    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18309 Y711    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18310 Y712    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18311 Y713    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18312 Y718    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18313 Y72     0 Otorhinolaryngological devices associated with adv           Otorhinolaryngological devices associated with adverse incidents
18314 Y720    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18315 Y721    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18316 Y722    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18317 Y723    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18318 Y728    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18319 Y73     0 Gastro-enterology and urology devices associated w           Gastro-enterology and urology devices associated with adverse incidents
18320 Y730    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18321 Y731    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18322 Y732    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18323 Y733    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18324 Y738    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18325 Y74     0 General hospital and personal-use devices associat           General hospital and personal-use devices associated with adverse incidents
18326 Y740    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18327 Y741    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18328 Y742    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18329 Y743    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18330 Y748    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18331 Y75     0 Neurological devices associated with adverse incid           Neurological devices associated with adverse incidents
18332 Y750    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18333 Y751    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18334 Y752    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18335 Y753    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18336 Y758    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18337 Y76     0 Obstetric and gynaecological devices associated wi           Obstetric and gynaecological devices associated with adverse incidents
18338 Y760    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18339 Y761    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18340 Y762    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18341 Y763    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18342 Y768    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18343 Y77     0 Ophthalmic devices associated with adverse inciden           Ophthalmic devices associated with adverse incidents
18344 Y770    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18345 Y771    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18346 Y772    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18347 Y773    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18348 Y778    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18349 Y78     0 Radiological devices associated with adverse incid           Radiological devices associated with adverse incidents
18350 Y780    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18351 Y781    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18352 Y782    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18353 Y783    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18354 Y788    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18355 Y79     0 Orthopaedic devices associated with adverse incide           Orthopaedic devices associated with adverse incidents
18356 Y790    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18357 Y791    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18358 Y792    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18359 Y793    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18360 Y798    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18361 Y80     0 Physical medicine devices associated with adverse            Physical medicine devices associated with adverse incidents
18362 Y800    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18363 Y801    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18364 Y802    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18365 Y803    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18366 Y808    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18367 Y81     0 General- and plastic-surgery devices associated wi           General- and plastic-surgery devices associated with adverse incidents
18368 Y810    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18369 Y811    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18370 Y812    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18371 Y813    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18372 Y818    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18373 Y82     0 Other and unspecified medical devices associated w           Other and unspecified medical devices associated with adverse incidents
18374 Y820    1 Diagnostic and monitoring devices                            Diagnostic and monitoring devices
18375 Y821    1 Therapeutic (nonsurgical) and rehabilitative devic           Therapeutic (nonsurgical) and rehabilitative devices
18376 Y822    1 Prosthetic and other implants, materials and acces           Prosthetic and other implants, materials and accessory devices
18377 Y823    1 Surgical instruments, materials and devices (inclu           Surgical instruments, materials and devices (including sutures)
18378 Y828    1 Miscellaneous devices, not elsewhere classified              Miscellaneous devices, not elsewhere classified
18379 Y83     0 Surgical operation and other surgical procedures a           Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
18380 Y830    1 Surgical operation with transplant of whole organ            Surgical operation with transplant of whole organ
18381 Y831    1 Surgical operation with implant of artificial inte           Surgical operation with implant of artificial internal device
18382 Y832    1 Surgical operation with anastomosis, bypass or gra           Surgical operation with anastomosis, bypass or graft
18383 Y833    1 Surgical operation with formation of external stom           Surgical operation with formation of external stoma
18384 Y834    1 Other reconstructive surgery                                 Other reconstructive surgery
18385 Y835    1 Amputation of limb(s)                                        Amputation of limb(s)
18386 Y836    1 Removal of other organ (partial) (total)                     Removal of other organ (partial) (total)
18387 Y838    1 Other surgical procedures                                    Other surgical procedures
18388 Y839    1 Surgical procedure, unspecified                              Surgical procedure, unspecified
18389 Y84     0 Other medical procedures as the cause of abnormal            Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
18390 Y840    1 Cardiac catheterisation                                      Cardiac catheterisation
18391 Y841    1 Kidney dialysis                                              Kidney dialysis
18392 Y842    1 Radiological procedure and radiotherapy                      Radiological procedure and radiotherapy
18393 Y843    1 Shock therapy                                                Shock therapy
18394 Y844    1 Aspiration of fluid                                          Aspiration of fluid
18395 Y845    1 Insertion of gastric or duodenal sound                       Insertion of gastric or duodenal sound
18396 Y846    1 Urinary catheterisation                                      Urinary catheterisation
18397 Y847    1 Blood-sampling                                               Blood-sampling
18398 Y848    1 Other medical procedures                                     Other medical procedures
18399 Y849    1 Medical procedure, unspecified                               Medical procedure, unspecified
18400 Y85     0 Sequelae of transport accidents                              Sequelae of transport accidents
